iab_id,company_id,first_added,last_modified,gid
768,null,2020-06-05,2020-06-05,null
770,null,2020-06-05,2020-06-05,null
766,null,2020-05-29,2020-05-29,null
764,290749,2020-05-22,2020-06-05,5498
765,null,2020-05-22,2020-05-22,null
761,290746,2020-05-22,2020-06-05,null
763,290747,2020-05-22,2020-06-05,7497
759,254476,2020-05-08,2020-06-05,2747
760,290745,2020-05-08,2020-06-05,null
758,182208,2020-05-01,2020-06-05,2709
756,289798,2020-04-17,2020-06-05,5737
754,290738,2020-04-10,2020-04-10,3935
748,290737,2020-04-03,2020-04-10,null
749,290741,2020-04-03,2020-04-10,null
747,271621,2020-03-27,2020-04-10,null
746,290743,2020-03-27,2020-04-10,3771
742,177213,2020-03-20,2020-04-10,7437
743,290739,2020-03-20,2020-04-10,null
738,290740,2020-03-20,2020-04-10,null
736,290744,2020-03-20,2020-06-05,null
732,null,2020-03-13,2020-03-13,null
739,290742,2020-03-13,2020-04-10,null
734,282521,2020-03-05,2020-03-09,2983
709,null,2020-03-05,2020-03-05,null
741,290736,2020-02-27,2020-03-09,7376
731,290600,2020-02-27,2020-03-05,3525
744,277389,2020-02-20,2020-02-26,2257
740,201620,2020-02-20,2020-03-05,6023
737,290732,2020-02-13,2020-03-05,7306
723,290690,2020-02-06,2020-02-07,4455
733,290691,2020-02-06,2020-03-05,7304
729,290645,2020-01-23,2020-03-05,7322
728,194895,2020-01-16,2020-01-17,2358
724,290631,2020-01-09,2020-03-05,7312
721,288331,2019-12-20,2020-01-15,3547
719,290630,2019-12-13,2020-03-09,7380
707,131744,2019-12-13,2020-01-15,2067
678,290629,2019-12-13,2020-01-15,3059
720,290628,2019-12-06,2020-03-09,7378
694,290626,2019-11-29,2020-01-15,null
718,290627,2019-11-29,2020-01-15,null
717,251987,2019-11-29,2020-03-09,7386
713,290624,2019-11-24,2020-03-05,7313
716,290625,2019-11-24,2020-03-09,7382
708,290623,2019-11-24,2020-01-15,5431
664,149137,2019-11-16,2020-03-05,7321
702,288690,2019-11-16,2020-01-15,3850
649,262282,2019-11-16,2020-01-15,2343
561,290622,2019-11-16,2020-01-15,null
673,193676,2019-11-16,2020-03-11,3694
672,265853,2019-11-16,2020-01-14,2175
671,132208,2019-11-16,2020-01-14,3729
715,290621,2019-11-16,2020-03-05,7309
712,290620,2019-11-09,2020-01-14,3665
688,184025,2019-11-09,2020-01-14,3118
681,290619,2019-11-01,2020-03-05,7305
706,261252,2019-10-25,2020-01-14,2399
697,290617,2019-10-18,2020-01-14,6841
691,290640,2019-10-18,2020-01-15,5576
687,290638,2019-10-11,2020-03-05,7314
690,290639,2019-10-11,2020-03-09,7385
686,172229,2019-10-04,2020-01-15,2264
685,290637,2019-10-04,2020-01-15,1901
682,290636,2019-09-27,2020-03-09,7379
684,183374,2019-09-27,2020-01-15,3586
677,290635,2019-09-13,2020-01-15,1214
660,285881,2019-09-13,2020-01-15,1753
676,290634,2019-09-06,2020-03-05,7310
675,290633,2019-09-06,2020-03-05,7315
674,290632,2019-08-30,2020-03-05,7311
670,290579,2019-08-16,2020-03-05,7308
667,209140,2019-08-16,2019-08-22,4484
668,290578,2019-08-16,2020-03-05,7318
658,290577,2019-08-16,2020-03-05,7307
666,290575,2019-08-09,2019-08-22,null
663,290576,2019-08-09,2020-03-05,7317
655,290573,2019-08-02,2019-08-02,5908
650,203686,2019-08-02,2019-08-02,2758
665,140994,2019-08-02,2019-08-02,6465
662,290572,2019-08-02,2020-03-05,7316
657,289751,2019-07-31,2019-07-31,4464
